component_id,assay_id,assay_time,model,bottom,top,logEC50,hill_slope,span,EC50,conc_unit
CP0000001,A0000004,2020/12/16,Hill,,,,,,,
CP0000002,A0000004,2020/12/16,Hill,,,,,,,
CP0000003,A0000004,2020/12/16,Hill,,,,,,,
CP0000004,A0000004,2020/12/16,Hill,,,,,,,
CP0000005,A0000004,2020/12/16,Hill,,,,,,,
CP0000006,A0000004,2020/12/16,Hill,,,,,,,
CP0000007,A0000004,2020/12/16,Hill,,,,,,,
CP0000008,A0000004,2020/12/16,Hill,,,,,,,
CP0000009,A0000004,2020/12/16,Hill,,,,,,,
CP0000010,A0000004,2020/12/16,Hill,,,,,,,
CP0000011,A0000004,2020/12/16,Hill,0.8951,2.082,5.453,1.052,1.187,0.284,ng/ÂµL.medium 
CP0000012,A0000004,2020/12/16,Hill,,,,,,,
CP0000013,A0000004,2020/12/16,Hill,,,,,,,
