,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.0,[*]Cl,0.0,0.0,0.0,0.0,0.0,0.0,[*]:[c](:[*])O,0.0,0.0,0.0,[*]S(=[*])(=[*])[*],0.0,0.0,[*]N([*])C
2,0.0,[*]:[c](:[*])Cl,[*][c]1:[*]:[cH]:[cH]:[cH]:[cH]:1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[*][C@H]1O[C@@H]1[*],[*]N([*])C(=C([*])[*])C(=[*])[*],[*]S(=[*])(=O)[*],[*]OC,0.0,0.0
3,0.0,[*]:[cH]:[c](Cl):[cH]:[*],0.0,0.0,0.0,0.0,[*]C([*])NC(=[*])[*],0.0,0.0,0.0,[*]C([*])C(O)C([*])[*],[*]C([*])N(C(=[*])[*])[c](:[*]):[*],0.0,[*]C(=[*])OC,[*]:[c]1:[*][*]CO1,0.0
4,0.0,[*][c]1:[*]:[cH]:[c](Cl):[cH]:[cH]:1,[*]1:[cH]:[cH]:[cH]:[cH]:[cH]:1,0.0,0.0,[*]C([*])[C@@H]1C[*][*]C1([*])[*],0.0,[*][c](:[*]):n:[cH]:[*],[*][c](:[*]):[c](O):[cH]:[*],0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,[*]CN(C[*])C[*],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,[*][c](:[*]):[c](Cl):[cH]:[*],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[*]CSC([*])[*],0.0,[*][c](:[*]):[c](OC):[cH]:[*],[*]=C1[*][*]OC1,0.0
7,0.0,0.0,0.0,0.0,[*]CCN1CC[*]CC1,0.0,0.0,0.0,[*]:[cH]:[c](O):[cH]:[*],0.0,0.0,0.0,[*][c]1:[*]:[cH]:[c](:[cH]:[cH]:1)S(=[*])(=[*])[*],0.0,[*]OC(=O)C=[*],0.0
8,0.0,[*][c]1:[*]:[cH]:[cH]:[c](Cl):[cH]:1,[*]C([*])[c]1:[cH]:[*]:[cH]:[cH]:[cH]:1,0.0,[*]CCO[*],0.0,[*][C@@H]1[*]N2[*][*]S[C@H]12,0.0,0.0,0.0,[*]OC(C([*])[*])C([*])[*],[*]SCC(=[*])[*],[*]S(=[*])(=[*])[c](:[cH]:[*]):[cH]:[*],0.0,[*]C([*])[C@]1(O)CC[C@H]([*])[*]C1([*])[*],[*]CN(C)C
9,[*]NCC([*])[*],0.0,[*]C[c]1:[cH]:[*]:[cH]:[cH]:[cH]:1,[*]C(=[*])[c](:[cH]:[*]):[cH]:[*],0.0,0.0,[*]N[C@H]1[C@@H]([*])[*]C1=[*],0.0,[*][c]1:[*]:[c]([*]):[c](O):[cH]:[cH]:1,0.0,[*]C([*])OC([*])[*],0.0,[*]NS(=O)(=O)[c](:[*]):[*],0.0,[*]C(=[*])[C@H]1CCC([*])([*])C1([*])[*],[*]C[c](:[cH]:[*]):[c]([*]):[*]
10,[*]CNC([*])[*],Cl[c]1:[cH]:[cH]:[*]:[cH]:[cH]:1,[*]C[c](:[cH]:[*]):[cH]:[*],0.0,0.0,0.0,[*][C@H]1[*][*][C@@H]2[*]C(=[*])N12,[*][c](:[*]):n:[c]([*]):[*],[*][c]1:[*]:[cH]:[c](O):[cH]:[cH]:1,0.0,[*]OC(O[*])C([*])[*],[*]:[c](:[*])C(=O)O,0.0,[*]O[c](:[cH]:[*]):[cH]:[*],[*]C[C@@](O)(C([*])[*])C([*])([*])[*],[*]N([*])[c](:[cH]:[*]):[c]([*]):[*]
11,[*]CC(O)C[*],0.0,0.0,0.0,[*]N1[*]CCCC1,0.0,[*][C@H]1[C@H]2SC([*])([*])[C@@H](N2C1=O)C(=[*])[*],[*]:n:[cH]:[c](:[*]):[*],[*]C(=[*])[c](:[c]([*]):[*]):[c]([*]):[*],0.0,0.0,0.0,0.0,0.0,[*]C(=[*])[C@@H]1C[*][*]C1([*])[*],[*]CCN(C)C
12,[*]OCC([*])[*],0.0,0.0,0.0,[*]CCCN(C[*])C[*],0.0,[*]C(=[*])[C@@H]1N2[*][*][C@H]2SC1(C)C,0.0,O[c]1:[cH]:[cH]:[*]:[cH]:[cH]:1,0.0,[*]CO,[*]CC(=C([*])[*])C[*],0.0,[*]O[c]1:[cH]:[*]:[c]([*]):[cH]:[cH]:1,[*]C\C(=C\[*])\C([*])[*],0.0
13,0.0,0.0,[*][c](:[*]):[c]1:[cH]:[cH]:[cH]:[*]:[c]:1:[*],[*]OC(=O)[c](:[*]):[*],0.0,[*]C(=CC(=[*])[*])[*],[*][C@@H]1[*]N2[C@@H]([*])C(C)(C)S[C@H]12,[*]CN=C([*])[*],[*][c]1:[*]:[c]([*]):[cH]:[c](O):[cH]:1,0.0,[*]C([*])CO,0.0,[*]NS(=O)(=O)[c]1:[cH]:[cH]:[*]:[cH]:[cH]:1,0.0,0.0,[*]N([*])[c]1:[cH]:[cH]:[cH]:[*]:[c]:1[*]
14,[*]CO[c](:[*]):[*],0.0,0.0,[*]COC(=[*])[*],[*]1CCCCC1,0.0,[*][C@@H]1[*][*]SC1(C)C,0.0,[*]C(=[*])[c]1:[c]([*]):[*]:[c]([*]):[cH]:[c]:1O,0.0,0.0,0.0,[*][c]1:[*]:[cH]:[c](N):[cH]:[cH]:1,[*]O[c]1:[cH]:[cH]:[c]([*]):[*]:[c]:1[*],0.0,0.0
15,[*]CC(O)CO[c](:[*]):[*],0.0,[*][c]1:[*]:[c]([*]):[cH]:[cH]:[cH]:1,[*]C(=[*])[c]1:[cH]:[*]:[c]([*]):[cH]:[cH]:1,[*]F,[*]C[C@@]1(C)[C@H]([*])[*][*]C1([*])[*],[*][C@@H]1[*][*]C([*])([*])S1,[*]CCN=[*],0.0,[*]NC(=O)C(=[*])[*],0.0,[*]N([*])C(=C([*])[*])C(=O)O,[*]:[cH]:[c](N):[cH]:[*],0.0,[*]C([*])C1=CC(=[*])OC1,[*]CN(C)C[*]
16,[*]NC(C)C,[*][c]1:[*]:[cH]:[c](Cl):[cH]:[c]:1Cl,[*]C(=[*])[c]1:[cH]:[cH]:[cH]:[*]:[c]:1[*],0.0,[*]N([*])CC,[*]CC(C([*])[*])C([*])[*],[*]N1[*][*]C([*])([*])[C@@H]1C(=[*])[*],0.0,0.0,[*][c](:[*]):[c](:[cH]:[*])C([*])([*])[*],[*]C[C@H]1O[*][*][C@@H]1[*],0.0,N[c]1:[cH]:[cH]:[*]:[cH]:[cH]:1,[*]O[c](:[c]([*]):[*]):[c](:[*]):[*],[*]C1=CC(=O)OC1,0.0
17,[*]NCC(O)CO[*],[*]n1:[*]:[*]:n:[cH]:1,[*]C([*])([*])[c]1:[cH]:[*]:[cH]:[cH]:[cH]:1,0.0,[*]:[c](:[*])F,0.0,0.0,[*]:[nH]:[*],[*]C(=[*])C(=O)C(=[*])[*],0.0,[*][C@H]1[*][*]O[C@@H]1CO,[*]CC1=C([*])[*][C@@H]([*])SC1,[*]S(=[*])(=[*])N[c](:[*]):[*],[*]:[cH]:[c](OC):[cH]:[*],[*]C1([*])[*][*]C[C@@H]1C2=CC(=[*])OC2,[*]S[c]1:[cH]:[cH]:[cH]:[*]:[c]:1[*]
18,0.0,0.0,[*]C([*])([*])[c](:[cH]:[*]):[cH]:[*],[*]C(=[*])NC(=[*])[*],[*]:[cH]:[c](F):[cH]:[*],[*]C([*])[C@@H]1CCC([*])([*])C1([*])[*],[*]C(=[*])N[C@H]1[C@H]2S[*][*]N2C1=O,0.0,[*][c]1:[*]:[cH]:[c](O):[cH]:[c]:1O,[*][c](:[*]):[c](C):[c]([*]):[*],0.0,0.0,[*]:[cH]:[c](:[cH]:[*])S(=O)(=O)N[c](:[*]):[*],0.0,[*]C([*])C1=CC(=O)OC1,[*]S[c](:[cH]:[*]):[c]([*]):[*]
19,[*]C([*])CNC(C)C,[*]n1:[cH]:[cH]:n:[cH]:1,[*]C(=[*])[c]1:[cH]:[*]:[cH]:[cH]:[cH]:1,0.0,[*][c]1:[*]:[cH]:[c](F):[cH]:[cH]:1,[*]C([*])CC([*])([*])[*],0.0,0.0,[*]O[c]1:[cH]:[c](O):[cH]:[*]:[c]:1[*],[*]C1([*])[*]:[*]C(=[*])N1,[*]C([*])O[C@@H]1O[C@H]([*])[*][C@H]([*])[C@H]1O,[*][C@H]1[C@H]2S[*]C(=C(N2C1=O)C(=[*])[*])[*],[*]S(=[*])(=[*])N,[*][c](:[*]):[c](OC):[c](:[*]):[*],0.0,[*]:[c](:[*])S[c](:[*]):[*]
20,[*]CNC(C)C,[*]n1:[*]:[*]:[cH]:[cH]:1,[*]N([*])[c]1:[cH]:[*]:[cH]:[cH]:[cH]:1,[*]CC(=O)O,0.0,0.0,[*]N[C@H]1[C@H]2SC([*])([*])[C@H]([*])N2C1=[*],[*]:n:[c](N):[c](:[*]):[*],[*]C(=[*])O[c](:[*]):[*],[*][O-],[*]O[C@@H](OC(C([*])[*])C([*])[*])C([*])[*],[*][C@@H]1[*]N2[*]=C([*])CS[C@H]12,[*]:[c](:[*])S(=O)(=O)N,0.0,[*]C1([*])[*]CC[C@@H]2[C@@H]1C[*][C@]3([*])[*][*]C[C@]23O,[*]CN([c](:[*]):[*])[c](:[*]):[*]
